model,fpr,tpr,threshold
Logistic Regression,0.2718589272593681,0.460093896713615,0.5385886272561673
Logistic Regression,0.2718589272593681,0.46322378716744916,0.5381906087289224
Logistic Regression,0.27553269654665685,0.46322378716744916,0.5378162027216218
Logistic Regression,0.27553269654665685,0.46635367762128327,0.5371361434031529
Logistic Regression,0.2777369581190301,0.46635367762128327,0.5368511381503529
Logistic Regression,0.2777369581190301,0.4679186228482003,0.5357898416149758
Logistic Regression,0.2784717119764879,0.4679186228482003,0.5353953229029352
Logistic Regression,0.2784717119764879,0.4694835680751174,0.5352271355682148
Logistic Regression,0.28214548126377664,0.4694835680751174,0.5343867319180913
Logistic Regression,0.28214548126377664,0.4726134585289515,0.5342514564586525
Logistic Regression,0.2828802351212344,0.4726134585289515,0.534039839865263
Logistic Regression,0.2828802351212344,0.47417840375586856,0.5339988565179009
Logistic Regression,0.2843497428361499,0.47417840375586856,0.5327057317117648
Logistic Regression,0.2843497428361499,0.4757433489827856,0.5326296065884313
Logistic Regression,0.2872887582659809,0.4757433489827856,0.530884196205623
Logistic Regression,0.2872887582659809,0.47730829420970267,0.5307789301021772
Logistic Regression,0.28802351212343863,0.47730829420970267,0.5306776259069617
Logistic Regression,0.28802351212343863,0.4788732394366197,0.5304438647325161
Logistic Regression,0.29022777369581193,0.4788732394366197,0.5300616666685178
Logistic Regression,0.29022777369581193,0.48043818466353677,0.529903613914184
Logistic Regression,0.29831006612784716,0.48043818466353677,0.527307336387477
Logistic Regression,0.29977957384276266,0.48043818466353677,0.5273032365538881
Logistic Regression,0.3027185892725937,0.48043818466353677,0.5265224337247607
Logistic Regression,0.3027185892725937,0.48200312989045385,0.5263892231549362
Logistic Regression,0.30345334313005146,0.48200312989045385,0.5260834194735013
Logistic Regression,0.30345334313005146,0.4835680751173709,0.5260474769451724
Logistic Regression,0.3041880969875092,0.4835680751173709,0.5258752533594631
Logistic Regression,0.3041880969875092,0.48982785602503914,0.5254515979705502
Logistic Regression,0.3056576047024247,0.48982785602503914,0.525004417676134
Logistic Regression,0.3056576047024247,0.49139280125195617,0.5247449711084559
Logistic Regression,0.30786186627479795,0.49139280125195617,0.5235987521194817
Logistic Regression,0.30786186627479795,0.4945226917057903,0.5229376640731833
Logistic Regression,0.3085966201322557,0.4945226917057903,0.5228519259333648
Logistic Regression,0.3085966201322557,0.49765258215962443,0.522225719060212
Logistic Regression,0.30933137398971344,0.49765258215962443,0.5218267838711168
Logistic Regression,0.30933137398971344,0.49921752738654146,0.5217389281561624
Logistic Regression,0.3130051432770022,0.49921752738654146,0.5203971453271401
Logistic Regression,0.3130051432770022,0.5023474178403756,0.5198673774245846
Logistic Regression,0.3152094048493755,0.5023474178403756,0.5192133100213817
Logistic Regression,0.3152094048493755,0.5039123630672926,0.5189538876042517
Logistic Regression,0.31594415870683323,0.5039123630672926,0.518775983656954
Logistic Regression,0.31594415870683323,0.5070422535211268,0.5186227387945213
Logistic Regression,0.3181484202792065,0.5070422535211268,0.5185037706979736
Logistic Regression,0.3181484202792065,0.5086071987480438,0.5184260148595786
Logistic Regression,0.319617927994122,0.5086071987480438,0.5181377012068243
Logistic Regression,0.319617927994122,0.5117370892018779,0.5179902876028962
Logistic Regression,0.3203526818515797,0.5117370892018779,0.517771666859365
Logistic Regression,0.3203526818515797,0.513302034428795,0.5177576814860232
Logistic Regression,0.3328434974283615,0.513302034428795,0.5144623656632109
Logistic Regression,0.3328434974283615,0.5164319248826291,0.5140838218749226
Logistic Regression,0.334313005143277,0.5164319248826291,0.513730285174394
Logistic Regression,0.334313005143277,0.5179968701095462,0.5134866094016239
Logistic Regression,0.3357825128581925,0.5179968701095462,0.5132928272878418
Logistic Regression,0.3357825128581925,0.5195618153364632,0.5131528309175638
Logistic Regression,0.34313005143277003,0.5195618153364632,0.5111303713390687
Logistic Regression,0.34313005143277003,0.5258215962441315,0.5108036057709869
Logistic Regression,0.34459955914768553,0.5258215962441315,0.510079705156452
Logistic Regression,0.34459955914768553,0.5289514866979655,0.5096884906616111
Logistic Regression,0.346069066862601,0.5289514866979655,0.5091440264430027
Logistic Regression,0.346069066862601,0.5305164319248826,0.5090503028197926
Logistic Regression,0.3468038207200588,0.5305164319248826,0.5088762128493827
Logistic Regression,0.3468038207200588,0.5352112676056338,0.5084686656057494
Logistic Regression,0.3526818515797208,0.5352112676056338,0.5064993296982877
Logistic Regression,0.3526818515797208,0.5367762128325508,0.5063761152255611
Logistic Regression,0.3541513592946363,0.5367762128325508,0.5058162758750104
Logistic Regression,0.3541513592946363,0.5383411580594679,0.5058013742162196
Logistic Regression,0.35782512858192506,0.5383411580594679,0.5047587301530144
Logistic Regression,0.35782512858192506,0.539906103286385,0.5045877009269122
Logistic Regression,0.3585598824393828,0.539906103286385,0.5043546898344826
Logistic Regression,0.3585598824393828,0.5414710485133021,0.5043017096456174
Logistic Regression,0.3600293901542983,0.5414710485133021,0.5040505994327577
Logistic Regression,0.3600293901542983,0.543035993740219,0.5037819514407755
Logistic Regression,0.36076414401175605,0.543035993740219,0.5037685221257682
Logistic Regression,0.36076414401175605,0.5446009389671361,0.5037077745036955
